name,DrugBank Accession Number,isosmiles,
Geldanamycin,DB02424,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O,
CCT-018159,DB07594,CCC1=C(O)C=C(O)C(=C1)C1=C(C(C)=NN1)C1=CC2=C(OCCO2)C=C1,
Tranilast,DB07615,COC1=CC=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1OC,
Nocodazole,DB08313,COC(=O)NC1=NC2=CC(=CC=C2N1)C(=O)C1=CC=CS1,
Batimastat,DB03880,[H][C@@](CC1=CC=CC=C1)(NC(=O)[C@]([H])(CC(C)C)[C@]([H])(CSC1=CC=CS1)C(=O)NO)C(=O)NC,
7-Hydroxystaurosporine,DB01933,[H][C@]12C[C@@H](NC)[C@@H](OC)[C@](C)(O1)N1C3=C(C=CC=C3)C3=C4[C@@H](O)NC(=O)C4=C4C5=C(C=CC=C5)N2C4=C13,
Bumetanide,DB00887,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,
Ivacaftor,DB08820,CC(C)(C)C1=CC(=C(O)C=C1NC(=O)C1=CNC2=CC=CC=C2C1=O)C(C)(C)C,
Emodin,DB07715,CC1=CC(O)=C2C(=O)C3=C(C=C(O)C=C3O)C(=O)C2=C1,
AT-7519,DB08142,ClC1=CC=CC(Cl)=C1C(=O)NC1=CNN=C1C(=O)NC1CCNCC1,
Pregnenolone,DB02789,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,
LY-294002,DB02656,O=C1C=C(OC2=C1C=CC=C2C1=CC=CC=C1)N1CCOCC1,
Quercetin,DB04216,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1,
Pantothenic acid,DB01783,CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,
Myricetin,DB02375,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1,
Albendazole,DB00518,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,
Mebendazole,DB00643,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,
Ixabepilone,DB04845,[H][C@]12C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC[C@@]1(C)O2)C(\C)=C\C1=CSC(C)=N1,
Cytidine,DB02097,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
Vorinostat,DB02546,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,
Trichostatin A,DB04297,C[C@H](\C=C(/C)\C=C\C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,
Ubenimex,DB03424,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(O)=O,
Veliparib,DB07232,C[C@@]1(CCCN1)C1=NC2=CC=CC(C(N)=O)=C2N1,
Chenodeoxycholic acid,DB06777,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,
Monastrol,DB04331,CCOC(=O)C1=C(C)NC(=S)N[C@H]1C1=CC=CC(O)=C1,
Spermidine,DB03566,NCCCCNCCCN,
Fotemustine,DB04106,CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O,
Lamotrigine,DB00555,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,
Propofol,DB00818,CC(C)C1=CC=CC(C(C)C)=C1O,
Tolcapone,DB00323,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,
Entacapone,DB00494,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,
Nialamide,DB04820,O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1,
Tranylcypromine,DB00752,NC1CC1C1=CC=CC=C1,
Selegiline,DB01037,C[C@H](CC1=CC=CC=C1)N(C)CC#C,
Moclobemide,DB01171,ClC1=CC=C(C=C1)C(=O)NCCN1CCOCC1,
Allopurinol,DB00437,OC1=NC=NC2=C1C=NN2,
Niraxostat,DB03841,CC(C)(C)COC1=C(C=C(C=C1)N1C=C(C=N1)C(O)=O)C#N,
Fisetin,DB07795,OC1=CC2=C(C=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1,
Pentostatin,DB00552,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O,
Everolimus,DB01590,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC,
Temsirolimus,DB06287,OCC(C)(CO)C(=O)O[C@@H]1CC[C@@H](C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@@H](OC)C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)C[C@H]1OC,
"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",DB04716,CC(C)(C)C1=NC2=C3C=CNC(=O)C3=C3C=C(F)C=CC3=C2N1,
Pentamidine,DB00738,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,
Brefeldin A,DB07348,[H][C@]1(O)C[C@@]2([H])\C=C\CCC[C@]([H])(C)OC(=O)\C=C\[C@@]([H])(O)[C@]2([H])C1,
Zanamivir,DB00558,[H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO,
Ethanolamine,DB03994,NCCO,
CHIR-124,DB06852,ClC1=CC2=C(NC(=O)C(C3=NC4=CC=CC=C4N3)=C2N[C@@H]2CN3CCC2CC3)C=C1,
Hesperidin,DB04703,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O,
Reversine,DB07340,C1CCC(CC1)NC1=NC(NC2=CC=C(C=C2)N2CCOCC2)=NC2=C1N=CN2,
3-Indolebutyric Acid,DB02740,OC(=O)CCCC1=CNC2=C1C=CC=C2,
Bafilomycin A1,DB06733,CO[C@H]1\C=C\C=C(C)\C[C@H](C)[C@H](O)[C@H](C)\C=C(/C)\C=C(OC)\C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O)[C@H](C)[C@H](O1)C(C)C,
Doxapram,DB00561,CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1,
Bupropion,DB01156,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,
Probenecid,DB01032,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,
Gatifloxacin,DB01044,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1,
Colforsin,DB02587,[H][C@]1(O)CCC(C)(C)[C@]2([H])[C@]([H])(O)[C@]([H])(OC(C)=O)[C@@]3(C)O[C@](C)(CC(=O)[C@]3(O)[C@@]12C)C=C,
H-89,DB07995,BrC1=CC=C(\C=C\CNCCNS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C=C1,
A-674563,DB08568,CC1=NNC2=C1C=C(C=C2)C1=CC(OC[C@@H](N)CC2=CC=CC=C2)=CN=C1,
Piceatannol,DB08399,OC1=CC(\C=C\C2=CC=C(O)C(O)=C2)=CC(O)=C1,
Ilomastat,DB02255,CNC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC(C)C)CC(=O)NO,
Lomustine,DB01206,ClCCN(N=O)C(=O)NC1CCCCC1,
"4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol",DB08356,COC1=CC=C(C=C1)C1=C(C)NN=C1C1=C(O)C=C(O)C=C1,
Fluvoxamine,DB00176,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,
Vidarabine,DB00194,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,
Fluconazole,DB00196,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,
Pantoprazole,DB00213,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,
Citalopram,DB00215,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,
Reboxetine,DB00234,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1,
Idoxuridine,DB00249,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,
Sulfanilamide,DB00259,NC1=CC=C(C=C1)S(N)(=O)=O,
Venlafaxine,DB00285,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,
Atomoxetine,DB00289,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,
Nitroprusside,DB00325,O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N,
Omeprazole,DB00338,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,
Aminohippuric acid,DB00345,NC1=CC=C(C=C1)C(=O)NCC(O)=O,
Aminoglutethimide,DB00357,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,
Duloxetine,DB00476,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,
Rimantadine,DB00478,CC(N)C12CC3CC(CC(C3)C1)C2,
Zidovudine,DB00495,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,
Metolazone,DB00524,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O,
Zafirlukast,DB00549,COC1=CC(=CC=C1CC1=CN(C)C2=C1C=C(NC(=O)OC1CCCC1)C=C2)C(=O)NS(=O)(=O)C1=CC=CC=C1C,
Methoxsalen,DB00553,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,
Sulfamethizole,DB00576,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,
Voriconazole,DB00582,C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,
Linezolid,DB00601,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,
Amprenavir,DB00701,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,
Thiabendazole,DB00730,N1C2=CC=CC=C2N=C1C1=CSC=N1,
Terbinafine,DB00857,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,
Chlorhexidine,DB00878,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,
Zalcitabine,DB00943,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,
Letrozole,DB01006,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,
Tioconazole,DB01007,ClC1=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=CS1,
Cinacalcet,DB01012,C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,
Econazole,DB01127,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,
Anastrozole,DB01217,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,
Chloroxine,DB01243,OC1=C(Cl)C=C(Cl)C2=C1N=CC=C2,
Cefradine,DB01333,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O,
Roflumilast,DB01656,FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl,
Cetrimonium,DB01718,CCCCCCCCCCCCCCCC[N+](C)(C)C,
PD173955,DB02567,CSC1=CC=CC(NC2=NC=C3C=C(C(=O)N(C)C3=N2)C2=C(Cl)C=CC=C2Cl)=C1,
Isoliquiritigenin,DB03285,OC1=CC=C(\C=C\C(=O)C2=C(O)C=C(O)C=C2)C=C1,
Naringenin,DB03467,[H][C@]1(CC(=O)C2=C(O1)C=C(O)C=C2O)C1=CC=C(O)C=C1,
Berberine,DB04115,COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC,
Coumarin,DB04665,O=C1OC2=CC=CC=C2C=C1,
Licofelone,DB04725,CC1(C)CN2C(CC(O)=O)=C(C(=C2C1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1,
Bifonazole,DB04794,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,
Maraviroc,DB04835,CC(C)C1=NN=C(C)N1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1=CC=CC=C1,
Tetrabenazine,DB04844,COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1,
Cediranib,DB04849,COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1,
Dronedarone,DB04855,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,
Huperzine A,DB04864,[H][C@@]12CC3=C(C=CC(=O)N3)[C@@](N)(CC(C)=C1)\C2=C\C,
Piboserod,DB04873,CCCCN1CCC(CNC(=O)C2=C3OCCCN3C3=CC=CC=C23)CC1,
Vatalanib,DB04879,ClC1=CC=C(NC2=NN=C(CC3=CC=NC=C3)C3=CC=CC=C23)C=C1,
Elacridar,DB04881,COC1=CC=CC2=C1NC1=C(C=CC=C1C(=O)NC1=CC=C(CCN3CCC4=CC(OC)=C(OC)C=C4C3)C=C1)C2=O,
Milnacipran,DB04896,CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1,
Tesmilifene,DB04905,CCN(CC)CCOC1=CC=C(CC2=CC=CC=C2)C=C1,
Iloperidone,DB04946,COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O,
Ezogabine,DB04953,CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1,
Tipifarnib,DB04960,CN1C=NC=C1[C@@](N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1,
Ingenol mebutate,DB05013,[H][C@@]12C[C@@H](C)[C@]34C=C(C)[C@H](OC(=O)C(\C)=C/C)[C@@]3(O)[C@H](O)C(CO)=C[C@@]([H])(C4=O)[C@]1([H])C2(C)C,
Fenretinide,DB05076,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(=O)NC1=CC=C(O)C=C1,
Vandetanib,DB05294,COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1,
Canertinib,DB05424,FC1=C(Cl)C=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1,
PX-12,DB05448,CCC(C)SSC1=NC=CN1,
Tandutinib,DB05465,COC1=C(OCCCN2CCCCC2)C=C2N=CN=C(N3CCN(CC3)C(=O)NC3=CC=C(OC(C)C)C=C3)C2=C1,
Abiraterone,DB05812,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,
Alogliptin,DB06203,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,
Silodosin,DB06207,C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F,
Asenapine,DB06216,CN1CC2C(C1)C1=C(OC3=CC=C(Cl)C=C23)C=CC=C1,
Lacosamide,DB06218,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1,
Dapagliflozin,DB06292,CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,
Pazopanib,DB06589,CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1,
Apixaban,DB06605,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,
Bosutinib,DB06616,COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl,
Desvenlafaxine,DB06700,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1,
Sulfaphenazole,DB06729,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1,
Ginkgolide A,DB06743,C[C@@H]1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]12O,
Pralatrexate,DB06813,NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,
Raltegravir,DB06817,CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1,
Apigenin,DB07352,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,
Ferulic acid,DB07767,COC1=CC(\C=C\C(O)=O)=CC=C1O,
Phloretin,DB07810,OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1,
AMG-208,DB08079,COC1=CC2=NC=CC(OCC3=NN=C4C=CC(=NN34)C3=CC=CC=C3)=C2C=C1,
Vismodegib,DB08828,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,
Pitavastatin,DB08860,O[C@H](C[C@H](O)\C=C\C1=C(N=C2C=CC=CC2=C1C1=CC=C(F)C=C1)C1CC1)CC(O)=O,
Fingolimod,DB08868,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,
Ruxolitinib,DB08877,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,
Aminopterin,DB08878,NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=N2)C(N)=N1,
Vemurafenib,DB08881,CCCS(=O)(=O)NC1=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C(F)C=C1,
Linagliptin,DB08882,CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1,
Mirabegron,DB08893,NC1=NC(CC(=O)NC2=CC=C(CCNC[C@H](O)C3=CC=CC=C3)C=C2)=CS1,
Regorafenib,DB08896,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1,
Aclidinium,DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,
Enzalutamide,DB08899,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,
Ponatinib,DB08901,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,
Formestane,DB08905,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C,
Afatinib,DB08916,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1,
Macitentan,DB08932,CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1,
Isoconazole,DB08943,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=C(Cl)C=CC=C1Cl,
Ifenprodil,DB08954,CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1,
Cytisine,DB09028,O=C1C=CC=C2[C@H]3CNC[C@H](C3)CN12,
Histamine,DB05381,NCCC1=CNC=N1,
Ellagic acid,DB08846,OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2,
Crizotinib,DB08865,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,
